ID,Description1,Price1,Price2,Price3,ID_1,Description,Folder,File Name
JTC-C2,C 2 DORATO,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-C3,C 3 MOGANO,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-C4,C 4 RAME,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-C5,C 5 VIOLA,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-C6,C 6 ROSSO,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-C7,C 7 ARANCIO,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-KIT,MILLENIUM COLOR KIT,399,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-KITA,MILLENNIUM COLOR KIT,399,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-S1,S1 CENERE,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-S2,S2 DORATO,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-S4,S4 RAME,16,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
JTC-SCALE          *,MILLENNIUM SCALE,30,0,0,COLMILL,JALYD MILLENIUM J COLOUR,Web Color,millennium color bottle
